,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/period_pulse,1 Half,2 Half,Epsilon_%,R2_FFT,Composite Function
50,4374279,293.96933,39.436089,14.583,0.164656436,-0.007521584,-0.04434049,-0.007278646,-0.007764521,6.459741527334044,0.999748264,f(t) = 0.994600 + 0.064100 * sin(2?? * 5.895100 * t + 2.454585)
51,4466691,292.27933,39.505081,14.348,0.243597205,-0.002365142,-0.019602297,-0.008306452,0.003563866,500.58424177946205,0.999828005,f(t) = 0.992400 + 0.058100 * sin(2?? * 4.144300 * t + 0.000015) + 0.022700 * sin(2?? * 2.072000 * t + -2.361285) + 0.006200 * sin(2?? * 8.288000 * t + 0.165685)
52,4547067,286.95959,39.64114,14.671,0.123537384,0.007743074,0.037996038425399996,0.007475731,0.008009864,6.898450634805689,0.999982238,f(t) = 0.999900 + 0.020000 * sin(2?? * 4.907100 * t + -0.000015) + 0.004300 * sin(2?? * 2.453500 * t + -0.183100)
53,4651526,290.7388,39.770802,14.754,0.262661476,-0.007509037,-0.050375126,-0.010820759,-0.004204171,88.07479673482436,0.999721228,f(t) = 0.999300 + 0.045600 * sin(2?? * 6.708600 * t + 0.000015) + 0.007000 * sin(2?? * 3.340600 * t + 0.422285)
54,4995588,286.4946,40.146961,14.961,0.179241961,0.006994618,0.166116582,0.0076832,0.006307461,19.666540712700414,0.999998109,f(t) = 1.000000 + 0.004400 * sin(2?? * 23.749200 * t + -0.333800) + 0.003200 * sin(2?? * 23.154500 * t + -0.871300)
55,5027750,295.99509,40.112518,14.775,0.446827328,-0.005478289,-0.064150216,-0.006291099,-0.0046674,29.633615546227333,0.999994381,f(t) = 1.000000 + 0.002900 * sin(2?? * 11.709900 * t + -0.000015)
56,5284701,294.53641,40.446362,14.447,0.409175779,-0.002809318,-0.068688106,-0.003338442,-0.002281445,37.61631212,0.999999026,f(t) = 1.000000 + 0.000900 * sin(2?? * 19.332500 * t + 0.540700) + 0.000900 * sin(2?? * 24.450100 * t + 0.000015) + 0.000500 * sin(2?? * 23.279200 * t + -1.059585)
57,5286485,295.00616,40.404041,14.824,0.096256705,0.001324239,0.013362631,0.001054835,0.001593006,40.64982408215913,0.999998964,f(t) = 1.000100 + 0.005700 * sin(2?? * 10.090800 * t + 0.000015) + 0.004900 * sin(2?? * 7.679000 * t + -0.000015)
58,5353653,289.06549,40.548512,15.131,0.226008362,0.008815784,0.047839733,0.008509104,0.00912183,6.950581842701959,0.99997899,f(t) = 1.000000 + 0.013100 * sin(2?? * 5.426600 * t + 1.233100) + 0.003000 * sin(2?? * 2.713600 * t + 0.000015)
59,5357882,290.35376,40.550961,14.694,0.211091634,0.002891718,0.014929072518600001,0.001971902,0.00380963,63.57233562129626,0.999928198,f(t) = 1.000200 + 0.033500 * sin(2?? * 5.162700 * t + 0.000015) + 0.004900 * sin(2?? * 2.531800 * t + -0.000015)
60,5534340,292.07117,40.715,14.645,0.406999514,-0.002058144,-0.022271999,-0.003115924,-0.001002554,102.62870870981908,0.999914235,f(t) = 1.000300 + 0.012700 * sin(2?? * 6.019900 * t + 2.863985) + 0.003100 * sin(2?? * 10.821400 * t + -3.016100) + 0.002100 * sin(2?? * 9.827500 * t + 2.222185) + 0.001800 * sin(2?? * 5.460800 * t + -0.000015) + 0.001500 * sin(2?? * 7.697100 * t + 0.441100)
61,5707205,292.35443,40.945759,14.34,0.186134979,0.004636543,0.075994331,0.004183108,0.005089039,19.54090601521628,0.999995492,f(t) = 1.000100 + 0.004100 * sin(2?? * 9.649000 * t + -1.632885) + 0.004000 * sin(2?? * 10.959100 * t + 0.729985) + 0.001800 * sin(2?? * 16.390300 * t + -0.000015) + 0.001600 * sin(2?? * 13.046100 * t + -0.000015) + 0.001500 * sin(2?? * 8.800000 * t + -1.038900) + 0.001400 * sin(2?? * 13.602200 * t + -0.000015) + 0.001100 * sin(2?? * 10.604800 * t + -0.101700) + 0.000800 * sin(2?? * 8.318200 * t + 2.684000) + 0.000700 * sin(2?? * 13.908500 * t + -0.000015)
62,5788165,290.88074,41.06081,14.354,0.506787602,-0.018833581,-0.336637077,-0.022789839,-0.014877322,42.012816492405776,0.999998945,f(t) = 1.000000 + 0.000900 * sin(2?? * 17.874300 * t + -0.000015)
63,6304420,297.05414,41.602089,14.392,0.237775159,0.009852395,0.182607245,0.010526909619334389,0.009179277,13.677249145963652,0.999999373,f(t) = 1.000000 + 0.002100 * sin(2?? * 18.534300 * t + -2.146100) + 0.001500 * sin(2?? * 16.961700 * t + 2.641700)
64,6442207,291.58728,41.878208,15.478,0.176348268,-0.002053735,-0.018103469,-0.002043445,-0.002064004,1.0010870354977206,0.999589904,f(t) = 0.976100 + 0.139700 * sin(2?? * 4.407700 * t + 0.000015) + 0.024900 * sin(2?? * 8.814900 * t + -0.000015) + 0.015900 * sin(2?? * 2.204000 * t + 1.414700)
65,6444630,292.41455,41.81065,14.561,0.213062368,-0.006713544,-0.040485356,-0.006521956,-0.006904735,5.701765555956241,0.99981496,f(t) = 1.000400 + 0.042600 * sin(2?? * 6.030400 * t + -1.565500) + 0.008200 * sin(2?? * 3.017800 * t + -0.000015)
66,6778487,292.15759,42.291168,14.85,0.120020277,0.006468851,0.032819716,0.005987893,0.006948814,14.855729284538683,0.999707681,f(t) = 0.994100 + 0.092700 * sin(2?? * 5.073500 * t + 0.453085)
67,6836820,281.43738,42.32869,14.46,0.12123833,-0.001528542,-0.013701086,-0.001537115,-0.001519987,1.1205786422424746,0.999700007,f(t) = 0.973400 + 0.160200 * sin(2?? * 4.481600 * t + -2.593385) + 0.022500 * sin(2?? * 8.963500 * t + 0.501785)
68,6955650,293.93597,42.488461,14.24,0.099719248,0.010369785880409392,0.039329487,0.009931665,0.010806999430468039,8.441567436766086,0.999858027,f(t) = 0.997100 + 0.060700 * sin(2?? * 3.792700 * t + 1.724500) + 0.007900 * sin(2?? * 1.896000 * t + 2.461785)
69,7048016,295.77335,42.593712,14.024,0.426884547,-0.001287869,-0.026685418,0.00069412,-0.003267075,307.9102483477852,0.999996328,f(t) = 1.000000 + 0.002000 * sin(2?? * 15.920700 * t + 0.000015) + 0.001000 * sin(2?? * 19.902900 * t + 1.835200) + 0.000900 * sin(2?? * 18.116900 * t + -2.953585) + 0.000500 * sin(2?? * 20.352600 * t + -3.069585) + 0.000500 * sin(2?? * 20.720600 * t + 0.018900) + 0.000300 * sin(2?? * 17.604400 * t + -0.000015) + 0.000300 * sin(2?? * 10.319100 * t + 0.728985) + 0.000300 * sin(2?? * 10.749500 * t + -2.495800)
70,7124161,293.71469,42.61084,14.673,0.188881622,0.002198776,0.010304343846400001,0.001928949,0.002468045,24.521135773377765,0.999966139,f(t) = 0.999900 + 0.027200 * sin(2?? * 4.686400 * t + 0.219185) + 0.007200 * sin(2?? * 2.343700 * t + -1.514585)
71,7347529,286.4968,42.95118,14.126,0.531459134,-0.002540889,-0.029596529,0.001521422,-0.0066032,319.75511853516474,0.999899069,f(t) = 1.000400 + 0.006800 * sin(2?? * 11.648100 * t + 0.000015)
72,7521682,289.93637,43.157269,14.781,0.146317939,-0.008564322,-0.096063431,-0.008212109,-0.00891544,8.212856900169326,0.999082762,f(t) = 0.986300 + 0.117000 * sin(2?? * 5.608300 * t + 2.326185) + 0.014500 * sin(2?? * 11.216700 * t + -0.000015)
73,7601767,289.92361,43.219158,14.486,0.143325838,-0.003797469,-0.03120798,-0.005583067,-0.002019042,93.76410991060845,0.999810675,f(t) = 0.984100 + 0.104000 * sin(2?? * 4.109300 * t + 0.000015) + 0.015200 * sin(2?? * 8.218100 * t + -0.000015)
74,7617649,294.77219,43.293789,14.634,0.132192022,0.001400252,0.015204076241200001,0.001158686,0.001641817,34.50315532587519,0.999561607,f(t) = 0.970300 + 0.185300 * sin(2?? * 5.428800 * t + 1.784285) + 0.032700 * sin(2?? * 10.858100 * t + -0.000015)
75,7668283,286.07773,43.302872,14.565,0.100584521,0.008727162,0.048717636,0.008402428,0.009051895,7.441902660778743,0.999987499,f(t) = 1.001100 + 0.017600 * sin(2?? * 3.721100 * t + 1.440885) + 0.003600 * sin(2?? * 1.859900 * t + -0.000015) + 0.002000 * sin(2?? * 5.582300 * t + -0.524600)
76,7750215,290.81134,43.468979,14.323,0.38569196,-0.004294457,-0.069908607,-0.003710741,-0.004878172,27.18459155950928,0.99999655,f(t) = 1.000000 + 0.003200 * sin(2?? * 16.278800 * t + 0.000015)
