KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/period_pulse,1 Half,2 Half,Epsilon_%,R2_FFT,Composite Function
6606229,291.85559,42.00861,11.136,0.568933249,0.004226971,0.033009262,-0.000443674,0.008890817,221.00942122434236,0.999983951,f(t) = 1.000000 + 0.002100 * sin(2?? * 6.407900 * t + 1.655900) + 0.001300 * sin(2?? * 7.809200 * t + 0.456200) + 0.000700 * sin(2?? * 4.820700 * t + -1.190085) + 0.000300 * sin(2?? * 3.523400 * t + 0.750900) + 0.000300 * sin(2?? * 4.182000 * t + -2.490685) + 0.000300 * sin(2?? * 6.882100 * t + -0.542300)
9775887,294.04736,46.569839,16.218,0.572067491,0.013333637,0.019081768,-0.051210872,0.077632729,975.2804255077839,0.999672803,f(t) = 1.000100 + 0.001800 * sin(2?? * 1.431100 * t + 2.479300)
10350769,295.97668,47.410461,13.008,0.583878707,0.006854355,0.021466468989000002,-0.031388874,0.045009058,1121.834000756154,0.999997935,f(t) = 0.999900 + 0.000500 * sin(2?? * 3.131800 * t + 2.295400) + 0.000100 * sin(2?? * 1.009300 * t + 1.581300) + 0.000100 * sin(2?? * 1.566200 * t + -2.671000)
8453431,298.85471,44.452911,12.534,0.593181526,-0.000693192,-0.015354619,-0.000511896,-0.000874224,52.27940968957954,0.999989708,f(t) = 1.000000 + 0.000100 * sin(2?? * 13.867600 * t + -1.573500) + 0.000100 * sin(2?? * 22.150600 * t + -3.140600)
1849235,286.14963,37.39505,11.646,0.594862522,0.015579702,0.10369226463119999,0.011947157774595906,0.019206958590478822,46.60572446228328,0.999495691,f(t) = 1.000800 + 0.003200 * sin(2?? * 6.263900 * t + -0.884300) + 0.001100 * sin(2?? * 6.655600 * t + 0.545700)
8330102,300.89816,44.289471,13.479,0.595887535,-0.002890806,-0.066293698,-0.004917402,-0.00086716,140.03626038556538,0.999982828,f(t) = 1.000100 + 0.002000 * sin(2?? * 17.328500 * t + -1.386100) + 0.000500 * sin(2?? * 19.036900 * t + -0.092800) + 0.000300 * sin(2?? * 21.188200 * t + 0.245800) + 0.000300 * sin(2?? * 15.959800 * t + -0.675500) + 0.000300 * sin(2?? * 22.932600 * t + -0.441900)
9368524,300.42334,45.886761,13.868,0.596350996,-0.00379789,-0.046657079,-0.004237358,-0.003359062,23.123945903839317,0.999864053,f(t) = 1.000000 + 0.000800 * sin(2?? * 10.511300 * t + -2.507100) + 0.000200 * sin(2?? * 5.551000 * t + -1.989800) + 0.000200 * sin(2?? * 10.833000 * t + -0.377100) + 0.000100 * sin(2?? * 6.016800 * t + 0.859500) + 0.000100 * sin(2?? * 12.285000 * t + -1.834200)
9649801,292.08319,46.31078,13.525,0.596972447,-0.001423124,-0.030174498,-0.003091087,0.000242411,234.0384104554391,0.999995398,f(t) = 1.000100 + 0.000200 * sin(2?? * 14.403700 * t + 2.826385) + 0.000100 * sin(2?? * 12.343400 * t + -2.720300) + 0.000100 * sin(2?? * 17.040500 * t + 0.631600) + 0.000100 * sin(2?? * 18.854200 * t + -2.807300) + 0.000100 * sin(2?? * 19.306200 * t + 1.563400) + 0.000100 * sin(2?? * 21.203000 * t + 2.596685)
7900367,294.93735,43.695919,11.282,0.597099203,-0.000650506,-0.008618814,-0.000602417,-0.000698525,14.775283723027725,0.999992339,f(t) = 1.000000 + 0.001300 * sin(2?? * 13.249400 * t + 2.775285) + 0.000300 * sin(2?? * 7.788900 * t + -2.824600)
5900260,298.00854,41.197849,13.413,0.599783673,-0.002641802,-0.045777673,-0.001717618,-0.003564642,69.93309158683637,0.999998164,f(t) = 1.000000 + 0.000100 * sin(2?? * 13.414100 * t + -2.363000) + 0.000100 * sin(2?? * 17.328200 * t + -0.229285)
4569150,293.74969,39.678051,12.016,0.601894438,-0.000119108,-0.001619857,-0.000490471,0.000251372,620.5306923768061,0.999984334,f(t) = 1.000100 + 0.000300 * sin(2?? * 9.704700 * t + 1.027300) + 0.000300 * sin(2?? * 10.879800 * t + -0.688700) + 0.000300 * sin(2?? * 13.599900 * t + -2.403400) + 0.000100 * sin(2?? * 12.157200 * t + 0.493100)
7915515,298.96823,43.679829,12.82,0.602890917,-0.000370602,-0.004520566,-0.000937041,0.000195013,305.12440071783635,0.999999022,f(t) = 1.000000 + 0.000100 * sin(2?? * 12.197900 * t + 2.737800)
4072890,295.45047,39.110661,14.269,0.615391855,-0.030505209,-0.20432389,-0.035233165,-0.025789043,30.953067889523055,0.999999815,f(t) = 1.000000 + 0.000100 * sin(2?? * 6.698000 * t + -2.866385)
11769929,295.19943,49.980381,12.381,0.619628921,0.0065473,0.11682805700999999,0.017977814,-0.004866574,348.47031198927766,0.999625814,f(t) = 1.000500 + 0.003000 * sin(2?? * 10.116700 * t + 0.947300) + 0.000900 * sin(2?? * 16.216600 * t + -1.377400) + 0.000500 * sin(2?? * 17.843700 * t + 2.907900) + 0.000400 * sin(2?? * 13.599200 * t + 2.805100) + 0.000300 * sin(2?? * 10.467300 * t + -1.941000) + 0.000300 * sin(2?? * 15.248100 * t + -0.745200)
10415087,295.79916,47.587009,12.139,0.621244338,-0.001378866,-0.009972373,0.019478041,-0.022187715,3075.3332244173725,0.999211816,f(t) = 1.001600 + 0.009800 * sin(2?? * 7.232300 * t + -0.674400)
7300184,296.78571,42.80331,15.43,0.622831781,-0.002677741,-0.055599275,-2.60E-05,-0.005325619,198.0563697805048,0.999549742,f(t) = 1.001100 + 0.002400 * sin(2?? * 11.657400 * t + 2.443000) + 0.000400 * sin(2?? * 20.763500 * t + 2.785400)
5358323,290.4848,40.597038,13.113,0.627253817,-0.002130138,-0.027476011,0.0002506,-0.004507411,223.5481909900286,0.999999211,f(t) = 1.000100 + 0.000100 * sin(2?? * 12.898700 * t + -1.567600)
11027806,290.94797,48.52446,11.557,0.633320591,0.000927723,-1,-1.16E-05,0.00186564,202.49425762413858,0.999999608,f(t) = 1.000100
8585472,299.66873,44.61068,13.249,0.637876087,0.003088559,0.038694394,0.001934817,0.00424062,74.67658279131008,0.999993067,f(t) = 0.999900 + 0.000100 * sin(2?? * 12.528300 * t + -1.939500)
9051991,300.42987,45.365898,13.471,0.641850685,0.008233055,0.107554984,0.011438629620264467,0.005032147,77.79211677,0.999948581,f(t) = 1.000100 + 0.000800 * sin(2?? * 10.384900 * t + 1.226300) + 0.000100 * sin(2?? * 9.704500 * t + 0.975400) + 0.000100 * sin(2?? * 12.507100 * t + 0.991600) + 0.000100 * sin(2?? * 13.063800 * t + -1.762200)
9050337,299.98993,45.31699,12.598,0.646273738,0.001674331,0.029393383,0.005690394,-0.002335886,478.5368807476309,0.999998721,f(t) = 1.000000 + 0.000100 * sin(2?? * 17.555300 * t + 1.437100)
3648131,292.09274,38.73053,13.476,0.658856887,0.003015233,0.061008717,0.007241102,-0.001210637,280.3013979143294,0.99999601,f(t) = 1.000000 + 0.000300 * sin(2?? * 15.412700 * t + -0.214000) + 0.000100 * sin(2?? * 20.233500 * t + -1.675785)
6231538,298.64798,41.51173,13.737,0.667530815,-0.003212209,-0.047292389,-0.003020713,-0.003403425,11.914806543401687,0.999972695,f(t) = 1.000000 + 0.000800 * sin(2?? * 12.273100 * t + -0.878100) + 0.000100 * sin(2?? * 14.722700 * t + 0.333700)
11704101,286.94263,49.831631,15.441,0.669476027,0.008885169,0.103075957,-0.003434767,0.021205105,277.3146060647752,0.995804753,f(t) = 0.987100 + 0.069100 * sin(2?? * 5.801200 * t + -0.000015) + 0.008700 * sin(2?? * 11.600900 * t + 0.605985) + 0.008300 * sin(2?? * 2.888400 * t + 2.939385)
